,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Min Ver,Max Ver
1859,EXOGEN Connects (US),MEDICAL,4.1891428571428575,0,16.0,10.0,Free,0.0,Everyone,['Medical'],"August 1, 2018",1.0.1,4.1.0,4.1.0,
1860,Full Code - Emergency Medicine Simulation,MEDICAL,4.1891428571428575,0,65.0,100.0,Free,0.0,Everyone,['Medical'],"July 23, 2018",2.0.0,5.0.0,5.0.0,
1861,Maricopa AH,MEDICAL,4.1891428571428575,0,29.0,100.0,Free,0.0,Everyone,['Medical'],"July 16, 2018",300000.1.11,4.0.3,4.0.3,
1862,Dare EMS Protocols,MEDICAL,4.1891428571428575,0,20.0,10.0,Free,0.0,Everyone 10+,['Medical'],"July 26, 2018",1.8.3,4.1.0,4.1.0,
1863,Pediatric Emergency Guide,MEDICAL,4.1891428571428575,0,3.8,100.0,Free,0.0,Everyone,['Medical'],"July 9, 2018",3.1.1,4.4.0,4.4.0,
1864,Weill Cornell Medicine,MEDICAL,4.1891428571428575,0,19.0,50.0,Free,0.0,Everyone,['Medical'],"July 16, 2018",1.0.10,5.0.0,5.0.0,
1865,Doctors Care,MEDICAL,4.1891428571428575,0,25.0,10.0,Free,0.0,Everyone,['Medical'],"July 24, 2018",2.0.0 (35717),4.4.0,4.4.0,
1866,PCOS Guide - Fight PCOS naturally,MEDICAL,4.1891428571428575,0,5.1,100.0,Free,0.0,Everyone,['Medical'],"August 4, 2018",1.0.0,5.0.0,5.0.0,
1867,EVA - Menstrual calendar and fertility,MEDICAL,4.1891428571428575,25,16.0,1000.0,Free,0.0,Everyone,['Medical'],"August 2, 2018",1.1.0,4.1.0,4.1.0,
1868,Hello Face,MEDICAL,4.1891428571428575,0,1.5,10.0,Free,0.0,Everyone,['Medical'],"July 31, 2018",1.0.0,4.4.0,4.4.0,
1869,Cochrane Library,MEDICAL,3.7,3,10.0,100.0,Free,0.0,Everyone,['Medical'],"July 17, 2018",1.5.0,4.1.0,4.1.0,
1870,Labs on Demand,MEDICAL,5.0,1,22.0,10.0,Free,0.0,Everyone,['Medical'],"August 3, 2018",1.2.0,4.2.0,4.2.0,
1871,Diabetes Testing,MEDICAL,4.1891428571428575,1,3.6,500.0,Free,0.0,Mature 17+,['Medical'],"July 26, 2018",1.0.0,4.0.3,4.0.3,
1872,GGDE: Prevent & Beat Depression Symptoms,MEDICAL,4.1891428571428575,2,20.0,50.0,Free,0.0,Everyone,['Medical'],"July 24, 2018",2.01.12,4.0.0,4.0.0,
1873,Dermatology Atlas (Colored & Illustrative),MEDICAL,5.0,3,20.0,100.0,Free,0.0,Everyone,['Medical'],"July 19, 2018",1.0.0,4.1.0,4.1.0,
1874,Jaylex,MEDICAL,4.1891428571428575,0,13.0,10.0,Free,0.0,Everyone,['Medical'],"July 30, 2018",1.2.3 - ,4.2.0,4.2.0,
1875,Tablet Reminder,MEDICAL,5.0,4,2.5,5.0,Free,0.0,Everyone,['Medical'],"August 3, 2018",1.0.0,4.1.0,4.1.0,
1876,Clinical Pharmacology,MEDICAL,4.1891428571428575,0,3.6,10.0,Free,0.0,Everyone,['Medical'],"August 1, 2018",1.0.0,4.1.0,4.1.0,
1877,Galaxies of Hope,MEDICAL,5.0,2,24.0,50.0,Free,0.0,Everyone,['Medical'],"July 27, 2018",1.0.0,4.1.0,4.1.0,
1878,Smartshading AI,MEDICAL,4.1891428571428575,0,10.0,10.0,Free,0.0,Everyone,['Medical'],"June 21, 2018",1.0.0,4.1.0,4.1.0,
1879,KBA-EZ Health Guide,MEDICAL,5.0,4,25.0,1.0,Free,0.0,Everyone,['Medical'],"August 2, 2018",1.0.72,4.0.3,4.0.3,
1880,FoothillsVet,MEDICAL,5.0,2,29.0,50.0,Free,0.0,Everyone,['Medical'],"July 11, 2018",300000.1.11,4.0.3,4.0.3,
1881,Eversense,MEDICAL,4.1891428571428575,3,17.0,100.0,Free,0.0,Everyone,['Medical'],"July 18, 2018",2.0.101,4.4.0,4.4.0,
1882,PrimeDelivery,MEDICAL,5.0,3,53.0,10.0,Free,0.0,Everyone,['Medical'],"July 13, 2018",0.1.0,4.1.0,4.1.0,
1883,You're an Anime,MEDICAL,5.0,2,83.0,10.0,Free,0.0,Everyone,['Medical'],"July 12, 2018",1.0.0,5.0.0,5.0.0,
1884,Anatomy & Physiology Vocabulary Exam Review App,MEDICAL,5.0,1,4.6,5.0,Free,0.0,Everyone,['Medical'],"August 2, 2018",2.0.0,4.0.0,4.0.0,
1885,Drug Calculator,MEDICAL,4.1891428571428575,0,4.6,10.0,Free,0.0,Everyone,['Medical'],"July 27, 2018",1.0.0,4.4.0,4.4.0,
1886,HACH Cares,MEDICAL,4.1891428571428575,0,28.0,10.0,Free,0.0,Everyone,['Medical'],"July 25, 2018",300000.1.11,4.0.3,4.0.3,
1887,WAH 247,MEDICAL,4.1891428571428575,0,29.0,1.0,Free,0.0,Everyone,['Medical'],"July 20, 2018",300000.1.11,4.0.3,4.0.3,
1888,CT Scan Cross Sectional Anatomy,MEDICAL,4.3,10,46.0,100.0,Free,0.0,Everyone,['Medical'],"July 19, 2018",5.0.16,4.1.0,4.1.0,
1889,VetCode,MEDICAL,4.9,28,5.7,5000.0,Free,0.0,Everyone,['Medical'],"July 7, 2018",1.0.0,4.4.0,4.4.0,
1890,ear super hearing,MEDICAL,4.1891428571428575,0,1.4,5.0,Free,0.0,Everyone,['Medical'],"July 31, 2018",1.0.0,4.0.0,4.0.0,
1891,Traditional Chinese Medicine Fangfang Liangfang Daquan - Practical and ancient Chinese medicine and old prescriptions for the treatment of various incurable diseases,MEDICAL,4.1891428571428575,1,12.0,10.0,Free,0.0,Everyone,['Medical'],"July 21, 2018",1.0.0,4.0.0,4.0.0,
1892,COPD GOLD 2017,MEDICAL,4.1891428571428575,5,2.2,10.0,Free,0.0,Everyone,['Medical'],"July 13, 2018",1.0.0,4.0.0,4.0.0,
1893,Summit Medical Video Visits,MEDICAL,4.1891428571428575,0,27.0,10.0,Free,0.0,Everyone,['Medical'],"July 12, 2018",1.1.1,4.1.0,4.1.0,
1894,ExtendedCare Virtual Care Room,MEDICAL,4.1891428571428575,0,18.0,5.0,Free,0.0,Everyone,['Medical'],"July 30, 2018",1.0.0,5.1.0,5.1.0,
1895,Lord Fairfax EMS Council,MEDICAL,4.1891428571428575,0,30.0,50.0,Free,0.0,Everyone,['Medical'],"July 17, 2018",1,4.0.3,4.0.3,
1896,MyWoundDoctor - Provider,MEDICAL,4.1891428571428575,0,3.5,1.0,Free,0.0,Everyone,['Medical'],"July 27, 2018",1.2.1,5.0.0,5.0.0,
1897,NCLEX Multi-topic Nursing Exam Review-Quiz & notes,MEDICAL,5.0,1,4.2,10.0,Free,0.0,Everyone,['Medical'],"July 24, 2018",1.0.0,4.0.3,4.0.3,
1898,Warfarin Dose Calculator,MEDICAL,4.1891428571428575,0,6.9,50.0,Free,0.0,Everyone,['Medical'],"July 15, 2018",3.0.0,4.1.0,4.1.0,
1899,Renesas PMA,MEDICAL,4.1891428571428575,0,6.6,5.0,Free,0.0,Everyone,['Medical'],"July 18, 2018",1.2.9,4.4.0,4.4.0,
1900,Pediatric Nursing,MEDICAL,4.9,14,7.0,100.0,Free,0.0,Everyone,['Medical'],"July 13, 2018",.1.0,4.0.3,4.0.3,
1901,Interpret Chest X-Ray With 100 Cases,MEDICAL,4.6,5,11.0,100.0,Free,0.0,Everyone,['Medical'],"August 3, 2018",1.0.0,4.1.0,4.1.0,
1902,Basics of Orthopaedics,MEDICAL,5.0,1,5.6,10.0,Free,0.0,Everyone,['Medical'],"July 27, 2018",1.0.0,4.1.0,4.1.0,
1903,4 Paws PH,MEDICAL,4.1891428571428575,1,29.0,5.0,Free,0.0,Everyone,['Medical'],"July 25, 2018",300000.1.11,4.0.3,4.0.3,
1904,high cholesterol levels,MEDICAL,4.1891428571428575,0,3.3,100.0,Free,0.0,Everyone,['Medical'],"July 23, 2018",1.0.0,4.1.0,4.1.0,
1905,Thyroid Nodules,MEDICAL,4.1891428571428575,0,20.0,10.0,Free,0.0,Everyone,['Medical'],"July 14, 2018",1.0.0,4.3.0,4.3.0,
1906,Training course: Learn Nursing,MEDICAL,4.1891428571428575,0,7.0,100.0,Free,0.0,Everyone,['Medical'],"July 8, 2018",1.0.0,4.1.0,4.1.0,
1907,Familyfirst Messenger,MEDICAL,4.0,1,3.3,10.0,Free,0.0,Everyone,['Medical'],"July 12, 2018",0.1.2,4.4.0,4.4.0,
1908,14thStreetVet,MEDICAL,4.1891428571428575,0,29.0,5.0,Free,0.0,Everyone,['Medical'],"July 16, 2018",300000.1.11,4.0.3,4.0.3,
1909,Clinic Doctor EHr,MEDICAL,5.0,2,7.1,5.0,Free,0.0,Everyone,['Medical'],"August 3, 2018",1.0.51.0.3,8.0.0,8.0.0,
1910,Teladoc Member,MEDICAL,4.0,2094,23.0,500000.0,Free,0.0,Everyone,['Medical'],"July 26, 2018",3.19.0,4.3.0,4.3.0,
1911,Anthem BC Anywhere,MEDICAL,2.6,496,24.0,100000.0,Free,0.0,Everyone,['Medical'],"July 27, 2018",8.0.226,4.4.0,4.4.0,
1912,Ada - Your Health Guide,MEDICAL,4.7,87418,14.0,1000000.0,Free,0.0,Everyone,['Medical'],"July 16, 2018",2.25.0,4.4.0,4.4.0,
1913,My Cancer Coach,MEDICAL,4.3,44,34.0,10000.0,Free,0.0,Everyone,['Medical'],"April 12, 2018",3.4.0.10,4.0.3,4.0.3,
1914,IHSS Help,MEDICAL,4.7,10,4.3,1000.0,Free,0.0,Everyone,['Medical'],"June 5, 2018",1.0.0,5.0.0,5.0.0,
1915,mobileRx Pharmacy,MEDICAL,2.5,124,43.0,10000.0,Free,0.0,Everyone,['Medical'],"January 13, 2017",3.0.2,3.0.0,3.0.0,
1916,Youper - AI Therapy,MEDICAL,4.6,2014,69.0,50000.0,Free,0.0,Everyone,['Medical'],"August 3, 2018",6.02.000,6.0.0,6.0.0,
1917,MoodSpace,MEDICAL,4.5,503,22.0,50000.0,Free,0.0,Everyone,['Medical'],"June 10, 2018",3.2.4,5.0.0,5.0.0,
1918,Super Hearing Super Ear Amplifier,MEDICAL,4.1,21,20.0,1000.0,Free,0.0,Everyone,['Medical'],"June 11, 2018",1.1.0,4.1.0,4.1.0,
1919,BURST Professionals,MEDICAL,4.5,11,25.0,1000.0,Free,0.0,Everyone,['Medical'],"January 17, 2018",1.0.7,4.2.0,4.2.0,
1920,LactMed,MEDICAL,4.3,573,2.0,100000.0,Free,0.0,Everyone,['Medical'],"June 1, 2017",3.1.0,3.0.0,3.0.0,
1921,Penn State Health OnDemand,MEDICAL,4.1891428571428575,0,40.0,50.0,Free,0.0,Everyone,['Medical'],"July 24, 2018",10.4.1.018_06,4.0.3,4.0.3,
1922,ScriptSave WellRx Rx Discounts,MEDICAL,3.8,700,37.0,100000.0,Free,0.0,Everyone,['Medical'],"June 21, 2018",3.3.0,4.4.0,4.4.0,
1923,Blue CareOnDemand,MEDICAL,4.4,163,40.0,10000.0,Free,0.0,Everyone,['Medical'],"June 29, 2018",10.4.1.015_05,4.0.3,4.0.3,
1924,HHS,MEDICAL,4.1891428571428575,0,4.3,500.0,Free,0.0,Everyone,['Medical'],"May 30, 2017",,4.0.0,4.0.0,
1925,Free Blood Pressure,MEDICAL,4.1891428571428575,7,5.7,5000.0,Free,0.0,Everyone,['Medical'],"October 13, 2016",3.0.0,4.0.3,4.0.3,
1926,Every disease has a drug without internet,MEDICAL,4.1891428571428575,44,4.0,10000.0,Free,0.0,Everyone,['Medical'],"April 24, 2018",1.0.0,4.1.0,4.1.0,
1927,PulsePoint AED,MEDICAL,4.5,330,17.0,50000.0,Free,0.0,Everyone,['Medical'],"July 31, 2018",1.12.0,4.0.3,4.0.3,
1928,All Mental disorders,MEDICAL,4.5,453,11.0,100000.0,Free,0.0,Everyone,['Medical'],"July 7, 2017",1.1.0,4.0.3,4.0.3,
1929,Deaf Interpreter,MEDICAL,3.8,24,4.4,1000.0,Free,0.0,Everyone,['Medical'],"September 26, 2017",5.51.0,3.0.0,3.0.0,
1930,Nurse Grid,MEDICAL,4.5,1686,15.0,100000.0,Free,0.0,Everyone,['Medical'],"July 30, 2018",2.9.0,4.4.0,4.4.0,
1931,High Blood Pressure Symptoms,MEDICAL,4.0,531,2.3,100000.0,Free,0.0,Everyone,['Medical'],"January 18, 2015",1.0.0,3.0.0,3.0.0,
1932,MedStar eVisit,MEDICAL,4.5,20,40.0,5000.0,Free,0.0,Everyone,['Medical'],"April 10, 2018",10.4.1.000_00,4.0.3,4.0.3,
1933,Blood Pressure(BP) Diary,MEDICAL,3.7,3596,8.4,1000000.0,Free,0.0,Everyone,['Medical'],"July 18, 2018",4.0.9,4.0.3,4.0.3,
1934,REDCap Mobile App,MEDICAL,4.3,56,11.0,10000.0,Free,0.0,Everyone,['Medical'],"July 31, 2018",3.0.8,4.3.0,4.3.0,
1935,JH Blood Pressure Monitor,MEDICAL,3.7,9,2.9,500.0,Free,0.0,Everyone,['Medical'],"July 21, 2018",1.1.0,4.0.3,4.0.3,
1936,Blood Pressure,MEDICAL,4.1891428571428575,10,2.4,1000.0,Free,0.0,Everyone,['Medical'],"March 14, 2015",1.0.0,2.3.0,2.3.0,
1937,VITAS Hospice Referral App for Healthcare Pros,MEDICAL,4.4,27,15.0,5000.0,Free,0.0,Everyone,['Medical'],"July 20, 2018",2.5.0 665,5.0.0,5.0.0,
1938,AAFP,MEDICAL,3.8,63,24.0,10000.0,Free,0.0,Everyone,['Medical'],"June 22, 2018",2.3.1,5.0.0,5.0.0,
1939,RT 516 VET,MEDICAL,4.1891428571428575,0,29.0,10.0,Free,0.0,Everyone,['Medical'],"July 13, 2018",300000.1.11,4.0.3,4.0.3,
1940,Anthem Anywhere,MEDICAL,2.7,2657,24.0,500000.0,Free,0.0,Everyone,['Medical'],"July 27, 2018",8.0.226,4.4.0,4.4.0,
1941,Sway Medical,MEDICAL,5.0,3,22.0,100.0,Free,0.0,Everyone,['Medical'],"July 25, 2018",3.0.0,5.0.0,5.0.0,
1942,Airway Ex - Intubate. Anesthetize. Train.,MEDICAL,4.3,123,86.0,10000.0,Free,0.0,Everyone,['Medical'],"June 1, 2018",0.6.88,5.0.0,5.0.0,
1943,fred's Pharmacy,MEDICAL,3.0,315,22.0,100000.0,Free,0.0,Everyone,['Medical'],"October 10, 2017",1.0.02,4.0.0,4.0.0,
1944,420 BZ Budeze Delivery,MEDICAL,5.0,2,11.0,100.0,Free,0.0,Mature 17+,['Medical'],"June 6, 2018",1.0.1,4.1.0,4.1.0,
1945,Fever Meter,MEDICAL,3.6,26,0.9521484375,5000.0,Free,0.0,Everyone,['Medical'],"May 10, 2015",1.1.0,2.2.0,2.2.0,
1946,Super Ear Super Hearing,MEDICAL,4.0,122,0.95703125,10000.0,Free,0.0,Everyone,['Medical'],"July 13, 2018",1.4.0,4.0.0,4.0.0,
1947,Blood Pressure Monitor,MEDICAL,4.3,17,6.0,10000.0,Free,0.0,Everyone,['Medical'],"February 25, 2017",1.0.1,4.4.0,4.4.0,
1948,BELONG Beating Cancer Together,MEDICAL,4.7,623,20.0,50000.0,Free,0.0,Teen,['Medical'],"July 29, 2018",4.0.5,4.3.0,4.3.0,
1949,BP Journal - Blood Pressure Diary,MEDICAL,5.0,6,26.0,1000.0,Free,0.0,Everyone,['Medical'],"May 25, 2018",1.0.32,4.4.0,4.4.0,
1950,TelaDoc,MEDICAL,4.7,6,13.0,1000.0,Free,0.0,Everyone,['Medical'],"March 31, 2018",1.3.0,5.0.0,5.0.0,
1951,Breastfeeding Tracker Baby Log,MEDICAL,4.1891428571428575,6,23.0,100.0,Free,0.0,Everyone,['Medical'],"July 20, 2018",1.3.5,5.0.0,5.0.0,
1952,Blood Pressure - Stay Healthy,MEDICAL,4.6,7,2.7,1000.0,Free,0.0,Everyone,['Medical'],"April 16, 2018",43.0.0,4.0.3,4.0.3,
1953,ConnectLine,MEDICAL,3.1,253,4.2,50000.0,Free,0.0,Everyone,['Medical'],"September 12, 2016",1.3.4,2.3.3,2.3.3,
1954,Club,MEDICAL,4.4,3786,28.0,50000.0,Free,0.0,Everyone,['Medical'],"July 16, 2018",4.4.3,4.0.3,4.0.3,
1955,Zen Leaf,MEDICAL,5.0,1,6.1,100.0,Free,0.0,Mature 17+,['Medical'],"March 8, 2018",2.3.5,4.1.0,4.1.0,
1956,Homeopathic Medicine Finder,MEDICAL,3.6,10,15.0,1000.0,Free,0.0,Everyone,['Medical'],"November 20, 2017",0.0.1,4.0.0,4.0.0,
1957,Patient Portal,MEDICAL,2.8,66,1.2,50000.0,Free,0.0,Everyone,['Medical'],"October 25, 2016",1.0.0,4.0.3,4.0.3,
1958,Nemours CareConnect,MEDICAL,4.4,65,37.0,10000.0,Free,0.0,Everyone,['Medical'],"April 5, 2018",10.4.1.000_00,4.0.3,4.0.3,
1959,Banfield Pet Health Tracker,MEDICAL,4.2,1747,5.9,100000.0,Free,0.0,Everyone,['Medical'],"October 17, 2016",1.2.2,4.0.0,4.0.0,
1960,tökr,MEDICAL,4.6,17,14.0,1000.0,Free,0.0,Everyone,['Medical'],"July 11, 2018",1.9.0.0,4.1.0,4.1.0,
1961,Low Blood Pressure Symptoms,MEDICAL,4.2,28,2.3,10000.0,Free,0.0,Everyone,['Medical'],"January 20, 2015",1.0.0,3.0.0,3.0.0,
1962,PatientPORTAL by InteliChart,MEDICAL,4.1891428571428575,1,32.0,500.0,Free,0.0,Everyone,['Medical'],"May 24, 2018",1.0.1,5.0.0,5.0.0,
1963,Hypertension High blood pressure,MEDICAL,3.8,292,2.7,100000.0,Free,0.0,Everyone,['Medical'],"April 16, 2018",43.0.0,4.0.3,4.0.3,
1964,Fever Care,MEDICAL,3.5,19,2.2,5000.0,Free,0.0,Everyone,['Medical'],"May 12, 2018",1.4.15 - ,4.0.3,4.0.3,
1965,1800 Contacts - Lens Store,MEDICAL,4.7,23160,26.0,1000000.0,Free,0.0,Everyone,['Medical'],"July 27, 2018",7.4.1,5.0.0,5.0.0,
1966,"Messages, Text and Video Chat for Messenger",SOCIAL,4.4,49173,4.0,10000000.0,Free,0.0,Everyone,['Social'],"June 4, 2018",1.24.0,4.1.0,4.1.0,
1967,All Social Networks,SOCIAL,4.2,22492,1.5,1000000.0,Free,0.0,Everyone,['Social'],"May 21, 2018",2.4.12,4.0.0,4.0.0,
1968,Social network all in one 2018,SOCIAL,4.3,1403,3.7,100000.0,Free,0.0,Everyone,['Social'],"January 30, 2018",1.0.0,4.0.0,4.0.0,
1969,The Messenger App,SOCIAL,4.4,4919,2.8,1000000.0,Free,0.0,Everyone,['Social'],"August 3, 2018",0.1.1,4.1.0,4.1.0,
1970,Messenger Pro,SOCIAL,4.4,13762,3.9,1000000.0,Free,0.0,Everyone,['Social'],"May 9, 2018",1.0.2,4.1.0,4.1.0,
1971,"Free Messages, Video, Chat,Text for Messenger Plus",SOCIAL,4.3,6086,3.1,1000000.0,Free,0.0,Teen,['Social'],"June 14, 2018",1.0.9,4.3.0,4.3.0,
1972,The Video Messenger App,SOCIAL,4.4,1200,2.8,100000.0,Free,0.0,Everyone,['Social'],"August 2, 2018",0.1.1,4.1.0,4.1.0,
1973,Jodel - The Hyperlocal App,SOCIAL,4.5,76480,20.0,1000000.0,Free,0.0,Mature 17+,['Social'],"August 6, 2018",4.95.4,5.0.0,5.0.0,
1974,Who Viewed My Facebook Profile - Stalkers Visitors,SOCIAL,4.6,271445,9.9,5000000.0,Free,0.0,Everyone,['Social'],"June 24, 2018",4.1.1,4.0.3,4.0.3,
1975,"Hide Something - Photo, Video",SOCIAL,4.6,225103,5.3,5000000.0,Free,0.0,Everyone,['Social'],"June 13, 2018",5.1.1,4.1.0,4.1.0,
1976,Love Sticker,SOCIAL,4.6,33177,10.0,1000000.0,Free,0.0,Everyone,['Social'],"June 12, 2018",2.1.6,4.0.0,4.0.0,
1977,Web Browser & Fast Explorer,SOCIAL,4.4,54768,2.6,5000000.0,Free,0.0,Everyone,['Social'],"May 16, 2018",3.6.1,4.0.3,4.0.3,
1978,VidStatus app - Status Videos & Status Downloader,SOCIAL,4.5,25562,31.0,5000000.0,Free,0.0,Teen,['Social'],"August 2, 2018",2.6.10,4.1.0,4.1.0,
1979,Love Images,SOCIAL,4.3,16404,2.3,1000000.0,Free,0.0,Everyone,['Social'],"June 24, 2018",1.6.0,2.3.0,2.3.0,
1980,Web Browser ( Fast & Secure Web Explorer),SOCIAL,4.4,2508,6.0,500000.0,Free,0.0,Everyone,['Social'],"November 20, 2017",2.0.1,4.0.3,4.0.3,
1981,SPARK - Live random video chat & meet new people,SOCIAL,4.6,79658,17.0,5000000.0,Free,0.0,Mature 17+,['Social'],"August 6, 2018",2.1.3.2,4.3.0,4.3.0,
1982,Golden telegram,SOCIAL,4.3,374,20.0,50000.0,Free,0.0,Everyone,['Social'],"July 30, 2018",4.6.5 - 2.0.1,4.1.0,4.1.0,
1983,Amino: Communities and Chats,SOCIAL,4.8,1259075,62.0,10000000.0,Free,0.0,Teen,['Social'],"July 20, 2018",1.8.19179,4.0.3,4.0.3,
1984,Meet – Talk to Strangers Using Random Video Chat,SOCIAL,4.6,60562,15.0,5000000.0,Free,0.0,Mature 17+,['Social'],"August 6, 2018",1.3.2,4.3.0,4.3.0,
1985,"💘 WhatsLov: Smileys of love, stickers and GIF",SOCIAL,4.6,22098,18.0,1000000.0,Free,0.0,Everyone,['Social'],"July 24, 2018",4.2.4,4.0.3,4.0.3,
1986,Phone Tracker : Family Locator,SOCIAL,4.3,231325,5.4,10000000.0,Free,0.0,Everyone,['Social'],"August 2, 2018",4.81.0,4.0.0,4.0.0,
1987,HTC Social Plugin - Facebook,SOCIAL,3.6,13223,2.8,10000000.0,Free,0.0,Mature 17+,['Social'],"June 8, 2016",8.00.752746,4.4.0,4.4.0,
1988,Periscope - Live Video,SOCIAL,4.0,479908,15.0,10000000.0,Free,0.0,Mature 17+,['Social'],"July 9, 2018",1.23.3.0,4.4.0,4.4.0,
1989,Kate Mobile for VK,SOCIAL,4.4,540930,5.3,10000000.0,Free,0.0,Teen,['Social'],"July 23, 2018",50.2.0,2.2.0,2.2.0,
1990,Moment,SOCIAL,4.5,19583,37.0,1000000.0,Free,0.0,Teen,['Social'],"August 1, 2018",5.2.1,4.4.0,4.4.0,
1991,Meetup,SOCIAL,4.2,79129,23.0,5000000.0,Free,0.0,Teen,['Social'],"August 2, 2018",3.10.26,4.4.0,4.4.0,
1992,textPlus: Free Text & Calls,SOCIAL,4.1,382120,28.0,10000000.0,Free,0.0,Everyone,['Social'],"July 26, 2018",7.3.1,4.1.0,4.1.0,
1993,"Free phone calls, free texting SMS on free number",SOCIAL,4.5,412725,35.0,10000000.0,Free,0.0,Everyone,['Social'],"July 31, 2018",3.8.1,4.1.0,4.1.0,
1994,"ooVoo Video Calls, Messaging & Stories",SOCIAL,4.3,1157004,34.0,50000000.0,Free,0.0,Everyone,['Social'],"October 16, 2017",4.2.1,4.3.0,4.3.0,
1995,Blogger,SOCIAL,3.7,138026,2.7,5000000.0,Free,0.0,Mature 17+,['Social'],"February 29, 2016",2.1.3,2.1.0,2.1.0,
1996,Blogaway for Android (Blogger),SOCIAL,3.7,4253,4.1,100000.0,Free,0.0,Teen,['Social'],"May 31, 2018",7.0.7,4.0.3,4.0.3,
1997,YouNow: Live Stream Video Chat,SOCIAL,4.1,309872,85.0,10000000.0,Free,0.0,Teen,['Social'],"August 3, 2018",14.0.13,4.1.0,4.1.0,
1998,Periscope - Live Video,SOCIAL,4.0,479909,15.0,10000000.0,Free,0.0,Mature 17+,['Social'],"July 9, 2018",1.23.3.0,4.4.0,4.4.0,
1999,Mirrativ: Live Stream Any App,SOCIAL,4.1,17955,89.0,500000.0,Free,0.0,Teen,['Social'],"August 2, 2018",7.23.4,4.1.0,4.1.0,
2000,Nextdoor - Local neighborhood news & classifieds,SOCIAL,4.3,51502,20.0,5000000.0,Free,0.0,Teen,['Social'],"July 25, 2018",2.69.0,5.0.0,5.0.0,
2001,Banjo,SOCIAL,4.2,58341,9.3,1000000.0,Free,0.0,Everyone,['Social'],"July 25, 2015",4.6.2.0,2.3.0,2.3.0,
2002,"ooVoo Video Calls, Messaging & Stories",SOCIAL,4.3,1157003,34.0,50000000.0,Free,0.0,Everyone,['Social'],"October 16, 2017",4.2.1,4.3.0,4.3.0,
2003,Timehop,SOCIAL,4.1,161610,16.0,5000000.0,Free,0.0,Teen,['Social'],"August 5, 2018",4.5.3,4.1.0,4.1.0,
2004,Couple - Relationship App,SOCIAL,4.0,33249,8.4,1000000.0,Free,0.0,Everyone,['Social'],"March 5, 2015",1.8.0,2.3.0,2.3.0,
2005,Nextdoor - Local neighborhood news & classifieds,SOCIAL,4.3,51504,20.0,5000000.0,Free,0.0,Teen,['Social'],"July 25, 2018",2.69.0,5.0.0,5.0.0,
2006,LOVOO,SOCIAL,4.0,852455,68.0,10000000.0,Free,0.0,Mature 17+,['Social'],"August 3, 2018",27.0.0,4.2.0,4.2.0,
2007,"Jaumo Dating, Flirt & Live Video",SOCIAL,4.4,900064,13.0,10000000.0,Free,0.0,Mature 17+,['Social'],"July 31, 2018",4.17.2,4.1.0,4.1.0,
2008,Patook - make platonic friends,SOCIAL,4.0,3677,50.0,100000.0,Free,0.0,Mature 17+,['Social'],"June 21, 2018",10.6.3,5.0.0,5.0.0,
2009,Meetup,SOCIAL,4.2,79129,23.0,5000000.0,Free,0.0,Teen,['Social'],"August 2, 2018",3.10.26,4.4.0,4.4.0,
2010,textPlus: Free Text & Calls,SOCIAL,4.1,382121,28.0,10000000.0,Free,0.0,Everyone,['Social'],"July 26, 2018",7.3.1,4.1.0,4.1.0,
2011,uCiC- Videos and Photos on demand,SOCIAL,4.0,2052,7.0,100000.0,Free,0.0,Teen,['Social'],"September 27, 2017",2.16.0,4.4.0,4.4.0,
2012,Meetup,SOCIAL,4.2,79130,23.0,5000000.0,Free,0.0,Teen,['Social'],"August 2, 2018",3.10.26,4.4.0,4.4.0,
2013,LOVOO,SOCIAL,4.0,852455,68.0,10000000.0,Free,0.0,Mature 17+,['Social'],"August 3, 2018",27.0.0,4.2.0,4.2.0,
2014,"Jaumo Dating, Flirt & Live Video",SOCIAL,4.4,900064,13.0,10000000.0,Free,0.0,Mature 17+,['Social'],"July 31, 2018",4.17.2,4.1.0,4.1.0,
2015,"Mico- Stranger Chat Random video Chat, Live, Meet",SOCIAL,4.4,624557,56.0,10000000.0,Free,0.0,Mature 17+,['Social'],"July 27, 2018",5.4.7.1,4.3.0,4.3.0,
2016,Couple - Relationship App,SOCIAL,4.0,33249,8.4,1000000.0,Free,0.0,Everyone,['Social'],"March 5, 2015",1.8.0,2.3.0,2.3.0,
2017,Meetup,SOCIAL,4.2,79130,23.0,5000000.0,Free,0.0,Teen,['Social'],"August 2, 2018",3.10.26,4.4.0,4.4.0,
2018,Amazon for Tablets,SHOPPING,4.0,141613,22.0,10000000.0,Free,0.0,Teen,['Shopping'],"July 31, 2018",16.14.0.850,4.4.0,4.4.0,
2019,Wish - Shopping Made Fun,SHOPPING,4.5,6210998,15.0,100000000.0,Free,0.0,Everyone,['Shopping'],"August 3, 2018",4.20.5,4.1.0,4.1.0,
2020,Shopee - No. 1 Online Shopping,SHOPPING,4.3,94294,30.0,10000000.0,Free,0.0,Everyone,['Shopping'],"July 23, 2018",2.25.17,4.1.0,4.1.0,
2021,Shopee: No.1 Online Shopping,SHOPPING,4.2,608753,30.0,10000000.0,Free,0.0,Everyone,['Shopping'],"July 23, 2018",2.25.17,4.1.0,4.1.0,
